SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
80,RL,.,7753,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,2,5,1946,2000,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,776,657,0,408,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,2000,Fin,2,TA,TA,Y,182,0,0,0,0,0,,,,0,4,2010,WD,Normal,181000
160,FV,30,3185,Pave,Pa,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,4,5,1910,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,602,601,0,1485,0,0,2,1,2,1,Gd,4,Typ,0,,Detchd,2004,RFn,2,TA,TA,Y,0,172,0,0,0,0,,,,0,6,2010,WD,Normal,152000
20,C,65,6568,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,6,1896,1980,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,Gd,Y,FuseA,1075,0,0,953,1,0,1,0,3,1,TA,6,Typ,0,,Detchd,1985,Unf,2,TA,TA,Y,0,444,0,0,0,0,,,,0,8,2007,WD,Abnorml,141000
20,FV,75,7865,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,3,5,1945,2009,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1220,0,0,730,0,0,2,0,2,1,Gd,4,Typ,0,,Attchd,2009,Fin,2,TA,TA,Y,0,102,0,0,0,0,,,,0,9,2009,New,Partial,209300
50,RL,60,10933,Pave,Gr,Reg,Bnk,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,3,6,1935,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,FuseA,1050,511,0,730,1,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1962,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD,Normal,141000
20,RL,80,11603,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1941,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,1385,0,0,694,0,0,1,1,3,1,TA,7,Typ,0,,Attchd,1960,RFn,1,TA,TA,Y,0,45,0,0,0,0,,,,0,4,2006,WD,Normal,146250
20,RL,70,12246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,4,6,1930,1971,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,Av,ALQ,Unf,GasA,Gd,Y,SBrkr,1486,0,0,1093,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1971,Unf,2,TA,TA,Y,226,0,0,0,180,0,,,,0,2,2007,WD,Normal,176000
60,RL,80,10403,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2,5,1920,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,868,914,0,1087,0,0,2,1,3,1,Gd,6,Typ,0,,Attchd,1998,RFn,2,TA,TA,Y,200,36,0,0,0,0,,,,0,3,2009,WD,Normal,198900
30,RM,50,8638,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,4,5,1922,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,BrkTil,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,1074,0,0,797,1,0,1,0,2,1,TA,5,Typ,0,,Detchd,1982,Unf,5,Fa,TA,P,0,0,105,0,0,0,,,,0,8,2009,WD,Normal,127500
80,RL,.,12803,Pave,,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,5,5,1952,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,1646,0,0,1045,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1989,Fin,2,TA,TA,Y,82,0,0,0,396,0,,,,0,8,2009,WD,Normal,276000
85,RL,72,9132,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,2,5,1910,1977,Gable,CompShg,Plywood,Plywood,BrkFace,144,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,1010,0,0,811,1,0,1,0,1,1,Gd,4,Typ,1,Fa,Attchd,1977,Fin,2,TA,TA,Y,203,66,0,0,0,0,,MnPrv,,0,7,2007,WD,Normal,154500
190,RM,60,6783,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,3,8,1914,1982,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,CBlock,TA,TA,Av,GLQ,Unf,GasA,Gd,N,SBrkr,522,0,234,865,1,0,1,0,2,1,TA,5,Typ,0,,,.,,0,,,N,55,0,0,0,0,0,,,,0,6,2006,WD,Normal,85500
20,RL,53,14140,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1910,1997,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,1386,0,0,817,1,0,2,0,3,1,Gd,7,Typ,0,,Attchd,1996,Unf,2,TA,TA,Y,0,39,0,0,0,0,,,,0,11,2008,WD,Normal,178900
160,RM,21,1893,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,2,6,1940,1972,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,548,547,0,600,0,0,1,1,3,1,TA,5,Typ,0,,Attchd,1972,Unf,1,TA,TA,Y,0,0,64,0,0,0,,,,0,6,2010,WD,Normal,86500
20,RL,74,8559,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2,5,1936,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1242,0,0,801,0,0,2,0,2,1,Gd,5,Typ,0,,Attchd,2006,RFn,3,TA,TA,Y,142,93,0,0,0,0,,,,0,5,2007,WD,Normal,195000
50,RM,50,6003,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,,7,1958,1989,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,1016,659,0,1277,0,0,1,1,3,1,Gd,6,Typ,1,Gd,Detchd,1940,Unf,1,TA,TA,Y,0,11,0,0,0,0,,GdPrv,,0,7,2008,WD,Normal,165900
75,RL,60,19803,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2.5Unf,2,8,1920,1990,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1838,1837,0,439,0,0,3,1,5,1,Gd,7,Typ,2,Gd,Detchd,1993,Unf,2,TA,TA,Y,686,80,32,0,0,0,,,,0,12,2006,WD,Normal,416000
50,RM,50,5503,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,1,7,1922,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,LwQ,ALQ,GasA,TA,Y,SBrkr,928,0,390,905,1,0,1,0,3,1,TA,6,Typ,0,,Detchd,1974,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD,Normal,131000
20,RL,91,11781,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4,5,1955,2008,Hip,CompShg,VinylSd,VinylSd,Stone,554,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,2278,0,0,1153,1,0,2,0,3,1,Ex,7,Typ,2,Gd,Attchd,2008,RFn,3,Gd,TA,Y,0,0,70,0,255,0,,,,0,6,2008,WD,Abnorml,476000
60,RL,68,8289,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,2Story,3,7,1921,1977,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,718,717,0,493,1,0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1977,Fin,2,TA,TA,Y,0,136,0,0,240,0,,GdPrv,,0,6,2007,WD,Normal,158000
60,RL,105,13696,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,5,1965,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,772,Ex,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,2071,575,0,865,0,0,2,1,3,1,Ex,9,Typ,1,Gd,BuiltIn,2006,Fin,3,TA,TA,Y,416,84,0,0,0,0,,,,0,3,2007,WD,Normal,381000
20,RL,90,13380,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,,2006,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,1848,0,0,2129,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,2,TA,TA,Y,0,32,0,0,0,0,,,,0,7,2006,New,Partial,234555
90,RM,78,7063,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,5,5,1934,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200,TA,Gd,PConc,Gd,Gd,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,1346,0,0,1113,2,0,2,0,2,2,TA,8,Typ,0,,Attchd,1997,Fin,4,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD,Alloca,207300
20,RL,.,16672,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,2,6,1947,1981,Hip,WdShake,Plywood,Plywood,BrkFace,653,Gd,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,1709,0,0,661,0,0,2,1,2,1,TA,6,Typ,1,TA,Attchd,1981,RFn,2,TA,TA,Y,576,64,0,0,0,0,,,,0,1,2006,WD,Normal,229000
120,RL,50,8015,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,4,5,1948,1980,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,BLQ,BLQ,GasA,TA,Y,SBrkr,925,0,0,1121,0,0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1980,RFn,1,TA,TA,Y,82,0,0,0,0,0,,,,0,5,2010,WD,Normal,144000
60,RL,90,10803,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,5,7,1940,1997,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,1550,1067,0,673,0,0,2,1,4,1,TA,9,Typ,1,TA,Attchd,1974,RFn,2,TA,TA,Y,40,243,0,0,0,0,,,,0,6,2008,WD,Normal,241000
75,RM,35,6303,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,3,6,1945,2001,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,744,743,0,671,0,0,2,0,3,1,TA,9,Typ,1,Gd,,.,,0,,,Y,0,291,134,0,0,0,,,,0,6,2008,WD,Normal,129000
120,RM,.,4503,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,3,5,1920,1999,Hip,CompShg,VinylSd,VinylSd,BrkFace,425,TA,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1226,0,0,841,1,0,2,0,2,1,TA,5,Typ,0,,Attchd,1999,Fin,2,TA,TA,Y,0,304,0,0,0,0,,,,0,6,2009,WD,Normal,166000
20,RL,72,9003,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,3,5,1946,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,74,TA,TA,CBlock,Gd,TA,No,LwQ,Unf,GasA,Gd,Y,FuseA,1198,0,0,667,1,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,1956,RFn,1,TA,TA,Y,0,44,0,0,0,0,,,,0,5,2008,WD,Normal,140000
120,FV,.,4541,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,4,5,1927,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,179,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1312,0,0,969,1,0,1,1,1,1,Gd,5,Typ,1,TA,Attchd,2001,RFn,2,TA,TA,Y,279,45,0,0,0,0,,,,0,7,2008,WD,Normal,286000
20,RL,79,11853,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,3,6,1918,1984,Gable,CompShg,Plywood,Plywood,BrkFace,98,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,1179,0,0,1021,0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1984,Fin,2,TA,TA,Y,206,103,0,0,0,0,,MnPrv,,0,8,2007,WD,Normal,152500
70,RL,75,12003,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,3,7,1949,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,862,705,0,1589,0,0,1,1,3,1,Fa,7,Typ,1,Gd,Attchd,1941,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2009,WD,Normal,175500
50,RL,60,6003,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1010,0,514,865,0,0,2,0,4,1,TA,7,Typ,0,,,.,,0,,,P,0,0,138,0,0,0,,,,0,6,2006,WD,Normal,103000
60,RL,85,11903,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,6,1941,1977,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,157,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,948,989,0,1132,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1977,Unf,2,TA,TA,P,0,176,0,0,200,0,,,,0,7,2009,WD,Normal,186000
85,RL,74,8743,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,3,6,1914,1982,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,TA,Y,SBrkr,862,0,0,865,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1996,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2009,WD,Normal,138000
60,RL,78,12093,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,5,7,1920,2003,Gable,CompShg,MetalSd,MetalSd,BrkFace,306,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,727,755,0,,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1981,RFn,2,TA,TA,Y,169,72,0,0,0,0,,,,0,3,2007,WD,Normal,177000
80,RL,80,9603,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,6,1920,1972,Gable,CompShg,AsbShng,AsbShng,BrkFace,164,TA,TA,CBlock,TA,TA,Av,BLQ,LwQ,GasA,Ex,Y,SBrkr,1522,0,0,1013,1,0,1,0,3,1,TA,7,Typ,2,Gd,Basment,1955,RFn,1,TA,TA,Y,0,0,189,0,0,0,,,,0,3,2010,WD,Normal,154000
75,RM,53,5353,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,3,8,1929,1965,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,732,721,0,716,0,0,1,0,3,1,TA,7,Typ,0,,Detchd,1935,Unf,1,TA,TA,Y,0,192,0,0,0,0,,MnPrv,,0,3,2008,WD,Normal,133000
60,RL,.,14314,Pave,,IR1,Lvl,AllPub,FR3,Gtl,NWAmes,Norm,Norm,1Fam,2Story,2,5,1939,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,402,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1238,1105,0,846,1,0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1996,RFn,3,TA,TA,Y,194,180,218,0,0,0,,GdPrv,,0,6,2008,WD,Normal,307000
60,RL,59,23306,Pave,,IR3,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,2Story,4,5,1920,2007,Gable,CompShg,VinylSd,VinylSd,Stone,20,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1510,1013,0,1129,1,0,2,1,5,1,Ex,10,Typ,1,Gd,BuiltIn,2007,Fin,3,TA,TA,Y,194,273,0,0,0,0,,,,0,6,2009,WD,Family,410900
20,RL,.,9251,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,,6,1927,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,106,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,1169,0,0,521,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1992,RFn,2,TA,TA,Y,122,26,0,0,0,0,,,,0,7,2009,WD,Normal,174000
20,RL,75,9989,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,4,5,1923,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,428,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1797,0,0,893,0,0,2,0,2,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,TA,TA,Y,0,49,0,0,0,0,,,,0,2,2007,New,Partial,148000
20,RL,77,8338,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1970,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,Slab,,,,,,GasA,Gd,Y,SBrkr,1126,0,0,1093,0,0,1,0,3,1,TA,5,Min,1,Gd,,.,,0,,,N,0,36,190,0,0,0,,,,0,4,2006,WD,Normal,94000
90,RL,64,7021,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1919,1979,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,Slab,,,,,,GasA,TA,Y,SBrkr,1122,1121,0,820,0,0,2,0,6,2,TA,12,Typ,0,,Detchd,1979,Unf,2,TA,TA,Y,156,0,0,0,0,0,,,,0,6,2009,WD,Alloca,143953
20,RL,59,17172,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,1Story,4,5,1925,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,970,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,2292,0,0,673,2,0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2007,Fin,3,TA,TA,Y,194,30,0,0,0,0,,,,0,8,2007,New,Partial,501067
